Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.01     59.77     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8ba9)
  0.01     59.77     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c4a)
  0.01     59.78     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cf1)
  0.01     59.78     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d05)
  0.01     59.79     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d22)
  0.01     59.79     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e2c)
  0.01     59.80     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8ea2)
  0.01     59.80     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8eac)
  0.01     59.81     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8eb6)
  0.01     59.81     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8ee7)
  0.01     59.82     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f92)
  0.01     59.82     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fb7)
  0.01     59.83     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90d6)
  0.01     59.83     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91c6)
  0.01     59.84     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91e3)
  0.01     59.84     0.01                             blake2b_compress (blake2b-ref.c:206 @ 91ec)
  0.01     59.85     0.01                             blake2b_compress (blake2b-ref.c:206 @ 926c)
  0.01     59.85     0.01                             blake2b_compress (blake2b-ref.c:207 @ 92f1)
  0.01     59.86     0.01                             blake2b_compress (blake2b-ref.c:207 @ 92fb)
  0.01     59.86     0.01                             blake2b_compress (blake2b-ref.c:207 @ 93d3)
  0.01     59.87     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9471)
  0.01     59.87     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9499)
  0.01     59.88     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94a2)
  0.01     59.88     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9572)
  0.01     59.89     0.01                             blake2b_compress (blake2b-ref.c:208 @ 95ac)
  0.01     59.89     0.01                             blake2b_compress (blake2b-ref.c:208 @ 95f0)
  0.01     59.90     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9622)
  0.01     59.90     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9667)
  0.01     59.91     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9683)
  0.01     59.91     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9696)
  0.01     59.92     0.01                             blake2b_compress (blake2b-ref.c:209 @ 96b1)
  0.01     59.92     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9712)
  0.01     59.93     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9824)
  0.01     59.93     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9963)
  0.01     59.94     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.01     59.94     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a28)
  0.01     59.95     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9a8b)
  0.01     59.95     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9b1a)
  0.01     59.96     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c36)
  0.01     59.96     0.01                             blake2b_increment_counter (blake2b-ref.c:69 @ 9db0)
  0.01     59.97     0.01                             blake2b_update (blake2b-ref.c:237 @ 9db7)
  0.01     59.97     0.01                             rotr64 (blake2-impl.h:155 @ 86a6)
  0.01     59.98     0.01                             rotr64 (blake2-impl.h:155 @ 86ba)
  0.01     59.98     0.01                             rotr64 (blake2-impl.h:155 @ 86db)
  0.01     59.99     0.01                             rotr64 (blake2-impl.h:155 @ 8793)
  0.01     59.99     0.01                             rotr64 (blake2-impl.h:155 @ 889e)
  0.01     60.00     0.01                             rotr64 (blake2-impl.h:155 @ 8ab3)
